"timestamp","snapshotDate","pkg","bytes"
2019-01-18 12:34:29,2019-01-17,"data.table","1894928"
2019-01-18 12:34:36,2019-01-17,"deldir","250164"
2019-01-18 12:34:50,2019-01-17,"extrafontdb","10261"
2019-01-18 12:34:50,2019-01-17,"Rttf2pt1","117470"
2019-01-18 12:34:50,2019-01-17,"extrafont","51510"
2019-01-18 12:35:04,2019-01-17,"backports","65892"
2019-01-18 12:35:04,2019-01-17,"rprojroot","83988"
2019-01-18 12:35:04,2019-01-17,"here","20202"
2019-01-18 12:38:45,2019-01-17,"glue","108374"
2019-01-18 12:38:45,2019-01-17,"magrittr","155490"
2019-01-18 12:38:45,2019-01-17,"stringi","15268101"
2019-01-18 12:38:45,2019-01-17,"stringr","194402"
2019-01-18 12:38:45,2019-01-17,"Rcpp","4479876"
2019-01-18 12:38:45,2019-01-17,"lubridate","1567169"
2019-01-18 12:39:09,2019-01-17,"raster","1867180"
2019-01-18 12:39:09,2019-01-17,"raster","3769387"
2019-01-18 12:40:55,2019-01-17,"rgdal","32951078"
2019-01-18 13:53:18,"2019-01-01","data.table","1832123"
2019-01-18 13:53:36,"2019-01-01","deldir","237935"
2019-01-18 13:53:44,"2019-01-01","extrafontdb","10261"
2019-01-18 13:53:44,"2019-01-01","Rttf2pt1","117470"
2019-01-18 13:53:44,"2019-01-01","extrafont","51510"
2019-01-18 13:53:55,"2019-01-01","backports","65892"
2019-01-18 13:53:55,"2019-01-01","rprojroot","83983"
2019-01-18 13:53:55,"2019-01-01","here","20200"
2019-01-18 13:57:46,"2019-01-01","glue","108378"
2019-01-18 13:57:46,"2019-01-01","magrittr","155668"
2019-01-18 13:57:46,"2019-01-01","stringi","15268101"
2019-01-18 13:57:46,"2019-01-01","stringr","194610"
2019-01-18 13:57:46,"2019-01-01","Rcpp","4479894"
2019-01-18 13:57:46,"2019-01-01","lubridate","1567943"
2019-01-18 13:58:16,"2019-01-01","raster","1867847"
2019-01-18 13:58:16,"2019-01-01","raster","3769843"
2019-01-18 13:59:19,"2019-01-01","rgdal","32951124"
2019-01-18 15:15:22,"2019-01-01","cli","589861"
2019-01-18 15:15:22,"2019-01-01","pillar","154755"
2019-01-18 15:15:22,"2019-01-01","httpuv","1183760"
2019-01-18 15:15:22,"2019-01-01","mime","47809"
2019-01-18 15:15:22,"2019-01-01","xtable","755905"
2019-01-18 15:15:22,"2019-01-01","digest","194583"
2019-01-18 15:15:22,"2019-01-01","sourcetools","530454"
2019-01-18 15:15:22,"2019-01-01","later","617795"
2019-01-18 15:15:22,"2019-01-01","promises","692200"
2019-01-18 15:15:22,"2019-01-01","crayon","749061"
2019-01-18 15:15:22,"2019-01-01","rlang","1030852"
2019-01-18 15:15:22,"2019-01-01","gtable","85935"
2019-01-18 15:15:22,"2019-01-01","tibble","243966"
2019-01-18 15:15:22,"2019-01-01","withr","150938"
2019-01-18 15:15:22,"2019-01-01","lazyeval","166783"
2019-01-18 15:15:22,"2019-01-01","shiny","4527915"
2019-01-18 15:15:22,"2019-01-01","ggplot2","3622625"
2019-01-18 15:15:22,"2019-01-01","gridExtra","1108406"
2019-01-18 15:15:22,"2019-01-01","plyr","1296690"
2019-01-18 15:15:22,"2019-01-01","gdtools","3429378"
2019-01-18 15:15:22,"2019-01-01","BH","17880032"
2019-01-18 15:15:22,"2019-01-01","callr","245016"
2019-01-18 15:15:22,"2019-01-01","lwgeom","5194636"
2019-01-18 15:15:22,"2019-01-01","rgeos","1895916"
2019-01-18 15:15:22,"2019-01-01","dichromat","149142"
2019-01-18 15:15:22,"2019-01-01","XML","4600112"
2019-01-18 15:15:22,"2019-01-01","DBI","889817"
2019-01-18 15:15:22,"2019-01-01","e1071","1015412"
2019-01-18 15:15:22,"2019-01-01","crosstalk","661499"
2019-01-18 15:15:22,"2019-01-01","scales","1066163"
2019-01-18 15:15:22,"2019-01-01","viridis","1866642"
2019-01-18 15:15:22,"2019-01-01","brew","113646"
2019-01-18 15:15:22,"2019-01-01","satellite","3236897"
2019-01-18 15:15:22,"2019-01-01","svglite","653738"
2019-01-18 15:15:22,"2019-01-01","uuid","32543"
2019-01-18 15:15:22,"2019-01-01","webshot","141157"
2019-01-18 15:15:22,"2019-01-01","tmaptools","343196"
2019-01-18 15:15:22,"2019-01-01","sf","40074061"
2019-01-18 15:15:22,"2019-01-01","units","1707790"
2019-01-18 15:15:22,"2019-01-01","viridisLite","60411"
2019-01-18 15:15:22,"2019-01-01","classInt","79638"
2019-01-18 15:15:22,"2019-01-01","htmlwidgets","805047"
2019-01-18 15:15:22,"2019-01-01","leaflet","2349449"
2019-01-18 15:15:22,"2019-01-01","mapview","3250499"
2019-01-18 15:15:22,"2019-01-01","tmap","3626450"
2019-01-18 15:15:27,"2019-01-01","zoo","1099810"
2019-01-18 15:58:12,"2019-01-01","ggplot2","3622625"
2019-02-18 12:44:14,"2019-01-01","gdalUtils","1207286"
2019-02-18 12:44:55,"2019-01-01","h5","3181856"
2019-02-21 15:45:27,"2019-01-01","httr","3937318"
2019-02-21 15:45:27,"2019-01-01","httr","496765"
2019-02-21 15:45:29,"2019-01-01","jsonlite","1160648"
2019-02-21 15:45:30,"2019-01-01","weathermetrics","104733"
