"valid.site","batch.name","RMSE","MAPE"
"C4","Whitetopped Asphalt Pavements",4.98550541370786,0.170145740311531
"C4","Concrete Pavements",5.03139546876791,0.17227756743125
"A7","Asphalt Pavements",5.21613329707841,0.163759176572662
"A7","Asphalt Overlays on PCC Pavements",5.279953133698,0.164193368567539
"C1","Whitetopped Asphalt Pavements",5.39152026642267,0.148576980617857
"C1","Concrete Pavements",5.42132468483313,0.14951322554128
"A9","Asphalt Overlays on PCC Pavements",5.71217491717659,0.182367863040754
"A9","Asphalt Pavements",5.78237773639811,0.184666378688186
"A6","Asphalt Pavements",6.9606668342832,0.199551108075302
"A1","Asphalt Overlays on PCC Pavements",7.27001173306636,0.23359519441507
"B1","Bare Ground / Desert Soil",7.54217463962155,0.291275545564115
